series,date,sector,value
abs,2015-01-01,Overall GDP,1176941.0
abs,2015-01-01,Agriculture,97539.0
abs,2015-01-01,Mining and Quarrying,103059.0
abs,2015-01-01,Manufacturing,262379.0
abs,2015-01-01,Construction,55382.0
abs,2015-01-01,Services,643883.0
abs,2015-01-01,Import Duties,14699.0
abs,2016-01-01,Overall GDP,1229312.0
abs,2016-01-01,Agriculture,93977.0
abs,2016-01-01,Mining and Quarrying,105368.0
abs,2016-01-01,Manufacturing,273899.0
abs,2016-01-01,Construction,59508.0
abs,2016-01-01,Services,680561.0
abs,2016-01-01,Import Duties,16000.0
abs,2017-01-01,Overall GDP,1300769.0
abs,2017-01-01,Agriculture,99509.0
abs,2017-01-01,Mining and Quarrying,105838.0
abs,2017-01-01,Manufacturing,290464.0
abs,2017-01-01,Construction,63522.0
abs,2017-01-01,Services,723361.0
abs,2017-01-01,Import Duties,18076.0
abs,2018-01-01,Overall GDP,1363766.0
abs,2018-01-01,Agriculture,99637.0
abs,2018-01-01,Mining and Quarrying,103557.0
abs,2018-01-01,Manufacturing,304843.0
abs,2018-01-01,Construction,66194.0
abs,2018-01-01,Services,772990.0
abs,2018-01-01,Import Duties,16546.0
abs,2019-01-01,Overall GDP,1423952.0
abs,2019-01-01,Agriculture,101573.0
abs,2019-01-01,Mining and Quarrying,102887.0
abs,2019-01-01,Manufacturing,316283.0
abs,2019-01-01,Construction,66453.0
abs,2019-01-01,Services,820576.0
abs,2019-01-01,Import Duties,16179.0
abs,2020-01-01,Overall GDP,1346249.0
abs,2020-01-01,Agriculture,99109.0
abs,2020-01-01,Mining and Quarrying,92879.0
abs,2020-01-01,Manufacturing,307606.0
abs,2020-01-01,Construction,53616.0
abs,2020-01-01,Services,777693.0
abs,2020-01-01,Import Duties,15346.0
abs,2021-01-01,Overall GDP,1390882.0
abs,2021-01-01,Agriculture,98843.0
abs,2021-01-01,Mining and Quarrying,93717.0
abs,2021-01-01,Manufacturing,336724.0
abs,2021-01-01,Construction,50839.0
abs,2021-01-01,Services,795116.0
abs,2021-01-01,Import Duties,15642.0
abs,2022-01-01,Overall GDP,1514139.0
abs,2022-01-01,Agriculture,100082.0
abs,2022-01-01,Mining and Quarrying,97001.0
abs,2022-01-01,Manufacturing,364124.0
abs,2022-01-01,Construction,53426.0
abs,2022-01-01,Services,882723.0
abs,2022-01-01,Import Duties,16784.0
abs,2023-01-01,Overall GDP,1567974.0
abs,2023-01-01,Agriculture,100812.0
abs,2023-01-01,Mining and Quarrying,97513.0
abs,2023-01-01,Manufacturing,366694.0
abs,2023-01-01,Construction,56659.0
abs,2023-01-01,Services,927904.0
abs,2023-01-01,Import Duties,18392.0
growth_yoy,2016-01-01,Overall GDP,4.45
growth_yoy,2016-01-01,Agriculture,-3.652
growth_yoy,2016-01-01,Mining and Quarrying,2.24
growth_yoy,2016-01-01,Manufacturing,4.391
growth_yoy,2016-01-01,Construction,7.45
growth_yoy,2016-01-01,Services,5.696
growth_yoy,2016-01-01,Import Duties,8.851
growth_yoy,2017-01-01,Overall GDP,5.813
growth_yoy,2017-01-01,Agriculture,5.887
growth_yoy,2017-01-01,Mining and Quarrying,0.446
growth_yoy,2017-01-01,Manufacturing,6.048
growth_yoy,2017-01-01,Construction,6.745
growth_yoy,2017-01-01,Services,6.289
growth_yoy,2017-01-01,Import Duties,12.975
growth_yoy,2018-01-01,Overall GDP,4.843
growth_yoy,2018-01-01,Agriculture,0.129
growth_yoy,2018-01-01,Mining and Quarrying,-2.155
growth_yoy,2018-01-01,Manufacturing,4.95
growth_yoy,2018-01-01,Construction,4.206
growth_yoy,2018-01-01,Services,6.861
growth_yoy,2018-01-01,Import Duties,-8.464
growth_yoy,2019-01-01,Overall GDP,4.413
growth_yoy,2019-01-01,Agriculture,1.943
growth_yoy,2019-01-01,Mining and Quarrying,-0.647
growth_yoy,2019-01-01,Manufacturing,3.753
growth_yoy,2019-01-01,Construction,0.391
growth_yoy,2019-01-01,Services,6.156
growth_yoy,2019-01-01,Import Duties,-2.218
growth_yoy,2020-01-01,Overall GDP,-5.457
growth_yoy,2020-01-01,Agriculture,-2.426
growth_yoy,2020-01-01,Mining and Quarrying,-9.727
growth_yoy,2020-01-01,Manufacturing,-2.743
growth_yoy,2020-01-01,Construction,-19.317
growth_yoy,2020-01-01,Services,-5.226
growth_yoy,2020-01-01,Import Duties,-5.149
growth_yoy,2021-01-01,Overall GDP,3.315
growth_yoy,2021-01-01,Agriculture,-0.268
growth_yoy,2021-01-01,Mining and Quarrying,0.902
growth_yoy,2021-01-01,Manufacturing,9.466
growth_yoy,2021-01-01,Construction,-5.179
growth_yoy,2021-01-01,Services,2.24
growth_yoy,2021-01-01,Import Duties,1.929
growth_yoy,2022-01-01,Overall GDP,8.862
growth_yoy,2022-01-01,Agriculture,1.254
growth_yoy,2022-01-01,Mining and Quarrying,3.504
growth_yoy,2022-01-01,Manufacturing,8.137
growth_yoy,2022-01-01,Construction,5.089
growth_yoy,2022-01-01,Services,11.018
growth_yoy,2022-01-01,Import Duties,7.301
growth_yoy,2023-01-01,Overall GDP,3.555
growth_yoy,2023-01-01,Agriculture,0.729
growth_yoy,2023-01-01,Mining and Quarrying,0.528
growth_yoy,2023-01-01,Manufacturing,0.706
growth_yoy,2023-01-01,Construction,6.051
growth_yoy,2023-01-01,Services,5.118
growth_yoy,2023-01-01,Import Duties,9.581
